id,name,descr,file_format_code,model,file_txt,module_id,module_name,template_typ_code,lang_code,is_active,cr_by,cr_dtimes
1101,Modèle de contenu d'autorisation,Modèle de contenu d'autorisation,txt,,"Madame/Monsieur $name,
Voici les détails de votre authentification avec l'INU $uin sur le périphérique déployé par les Services WURI:
- Type d'authentification : $authType 
- Date et Heure : $date à $time Hrs 
- Statut : $status ",10004,Authentification ID,auth-email-content,fra,TRUE,superadmin,now()
1102,Modèle d'objet d'autorisation,Modèle d'object d'autorisation,txt,,Authentification INU $uin: $status,10004,Authentification ID,auth-email-subject,fra,TRUE,superadmin,now()
1103,Modèle de SMS d'autorisation,Modèle de SMS d'autorisation,txt,,"Madame/Monsieur $name, les détails de votre authentification avec l'INU $uin par les services WURI : Type : $authType ; Date et Heure : $date à $time Hrs ; Statut : $status; ",10004,Authentification ID,auth-sms,fra,TRUE,superadmin,now()
1107,Modèle de courrier d'identité en double,Modèle de courrier d'identité en double,txt,,"Madame/Monsieur $!name_fra,
Votre demande d'INU avec le numéro d'enregistrement: $!RID a échoué car un doublon a été détecté. 
Veuillez nous contacter au : incident@wuriguinee.com ou +224622227491.
Merci",10003,Processeur d'inscription,RPR_DUP_UIN_EMAIL,fra,TRUE,superadmin,now()
1108,Modèle de SMS d'identité en double,Modèle de SMS d'identité en double,txt,,"Madame/Monsieur $!name_fra,
Votre demande d'INU avec le numéro d'enregistrement: $!RID a échoué car un doublon a été détecté. 
Veuillez nous contacter au : incident@wuriguinee.com ou +224622227491",10003,Processeur dinscription,RPR_DUP_UIN_SMS,fra,TRUE,superadmin,now()
1109,Modèle de courriel pour incident technique,Modèle de courriel pour incident technique,txt,,"Madame/Monsieur $!name_fra,
Votre demande d'INU avec le numéro d'enregistrement: $!RID a échoué à cause d'un incident technique. 
Veuillez nous contacter au : incident@wuriguinee.com ou +224622227491.Merci",10003,Processeur d'inscription,RPR_TEC_ISSUE_EMAIL,fra,TRUE,superadmin,now()
1110,Modèle de SMS d'incident technique,Modèle de SMS d'incident technique,txt,,"Madame/Monsieur $!name_fra,
Votre demande d'INU avec le numéro d'enregistrement: $!RID a échoué à cause d'un incident technique. 
Veuillez nous contacter au : incident@wuriguinee.com ou +224622227491.",10003,Processeur d'inscription,RPR_TEC_ISSUE_SMS,fra,TRUE,superadmin,now()
1111,Modèle de courriel de génération d'INU,Modèle de courriel de génération d'INU,txt,,"Madame/Monsieur $!name_fra,
Votre INU avec le numéro d’enregistrement: $!RID a été généré avec succès. 
Veuillez nous contacter au : inu@wuriguinee.com ou +224622227491.Merci",10003,Processeur d'inscription,RPR_UIN_GEN_EMAIL,fra,TRUE,superadmin,now()
1112,Modèle de SMS de génération d'INU,Modèle de SMS de génération d'INU,txt,,"Madame/Monsieur $!name_fra,
Votre INU avec le numéro d’enregistrement: $!RID a été généré avec succès. 
Veuillez nous contacter au : inu@wuriguinee.com ou +224622227491.",10003,Processeur d'inscription,RPR_UIN_GEN_SMS,fra,TRUE,superadmin,now()
1113,Modèle de courriel pour la mise à jour des infos,Modèle de courriel pour la mise à jour des infos,txt,,"Madame/Monsieur $!name_fra,
Les informations de votre INU correspondant au numéro d’enregistrement: $!RID ont été mises à jour. 
Veuillez nous contacter au : inu@wuriguinee.com ou +224622227491 pour récupérer votre nouvelle carte INU.
Merci",10003,Processeur dinscription,RPR_UIN_UPD_EMAIL,fra,TRUE,superadmin,now()
1114,Modèle de SMS pour la mise à jour des infos,Modèle de SMS pour la mise à jour des infos,txt,,"Madame/Monsieur $!name_fra,
Les infos de votre INU correspondant au numéro d’enregistrement: $!RID ont été mises à jour. 
Veuillez nous contacter au : inu@wuriguinee.com ou +224622227491 pour récupérer votre nouvelle carte INU.
Merci",10003,Processeur dinscription,RPR_UIN_UPD_SMS,fra,TRUE,superadmin,now()
1115,Modèle de contenu de courriel pour un nouvel enregistrement,Modèle de contenu de courriel pour un nouvel enregistrement,txt,,"Madame/Monsieur $name,
Merci de vous être inscrit sur la plateforme d'identification numérique WURI GUINEE. Votre numéro d'enregistrement est $RegistrationID. 
Si des corrections doivent être apportées à vos données, veuillez nous contacter au : enregistrement@wuriguinee.com ou +224622227491.",10002,Client dinscription,NewReg-email-content-template,fra,TRUE,superadmin,now()
1116,Modèle d'objet pour une nouvel enregistrement,Modèle d'objet pour un nouvel enregistrment,txt,,Confirmation d'enregistrement,10002,Client dinscription,NewReg-email-subject-template,fra,TRUE,superadmin,now()
1117,Modèle de SMS pour un nouvel enregistrement,Modèle de nouvelle inscription SMS,txt,,"Madame/Monsieur $name,
Merci de vous être inscrit sur la plateforme d'identification numérique WURI GUINEE. Votre numéro d'enregistrement est $RegistrationID. 
Si des corrections sont nécessaires, veuillez nous contacter au : enregistrement@wuriguinee.com ou +224622227491.",10002,Client dinscription,NewReg-sms-template,fra,TRUE,superadmin,now()
1118,Modèle de contenu de courriel de génération d'OTP,Modèle de contenu de contenu courriel de génération d'OTP,txt,,"Madame/Monsieur $name,
L'OTP pour l'utilisateur $username est $otp. Il est valide pour $validTime minutes.
Il a été généré le $date à $heure hrs.",10002,Client d'inscription,OTP-email-content-template,fra,TRUE,superadmin,now()
1119,Modèle d'objet pour le courriel de génération d'OTP,Modèle d'objet pour le courriel de génération d'OTP,txt,,Votre mot de passe WURI à usage unique (OTP),10002,Client dinscription,OTP-email-subject-template,fra,TRUE,superadmin,now()
